,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Per_Change,Trend
396,MINDTREE,EQ,2018-12-18,870.05,860.0,867.05,841.6,847.0,846.6,847.53,1634661,1385424413.2,48629,445745,27.27,2018,12,842.9727071894378,-2.6952473995747295,Negative
397,MINDTREE,EQ,2018-12-19,846.6,850.0,861.6,827.3,849.8,850.1,842.08,1987778,1673871882.25,70188,429485,21.61,2018,12,842.9994481520375,0.4134183793999435,Slight or No change
398,MINDTREE,EQ,2018-12-20,850.1,849.0,859.3,841.35,850.0,850.05,851.13,996549,848189114.65,22939,273902,27.49,2018,12,843.0126851710867,-0.00588166098106635,Slight or No change
399,MINDTREE,EQ,2018-12-21,850.05,850.35,866.2,840.1,847.0,845.6,854.63,1601801,1368955192.5,38063,324117,20.23,2018,12,843.0204694370125,-0.5234986177283574,Slight negative
400,MINDTREE,EQ,2018-12-24,845.6,848.8,856.9,834.15,836.35,837.7,844.58,690775,583416544.8,22720,111963,16.21,2018,12,843.0135752466275,-0.9342478713339597,Slight negative
401,MINDTREE,EQ,2018-12-26,837.7,839.0,859.85,818.0,855.05,854.05,835.99,1128860,943715887.0,26303,203751,18.05,2018,12,843.0368962120316,1.9517727109943817,Positive
402,MINDTREE,EQ,2018-12-27,854.05,859.35,872.9,853.0,863.8,861.85,865.28,1251109,1082557151.45,24687,157002,12.55,2018,12,843.0808521687177,0.9132954745038502,Slight positive
403,MINDTREE,EQ,2018-12-28,861.85,863.0,869.0,858.05,865.2,864.1,863.7,420544,363225727.25,7846,49437,11.76,2018,12,843.0973469945994,0.26106631084295007,Slight or No change
404,MINDTREE,EQ,2018-12-31,864.1,870.0,871.7,861.55,864.0,864.5,866.31,317152,274752852.65,11757,61520,19.4,2018,12,843.110005991894,0.04629093854877642,Slight or No change
405,MINDTREE,EQ,2019-01-01,864.5,864.0,867.1,853.4,863.15,863.4,861.25,399996,344498215.7,7996,27003,6.75,2019,1,843.1251303851283,-0.1272411798727613,Slight or No change
406,MINDTREE,EQ,2019-01-02,863.4,858.0,878.0,857.2,859.0,860.5,870.52,892157,776640527.3,19259,84733,9.5,2019,1,843.1539694906855,-0.3358813991197529,Slight or No change
407,MINDTREE,EQ,2019-01-03,860.5,861.15,865.0,824.35,834.3,834.8,848.07,908897,770806819.25,53508,305402,33.6,2019,1,843.1398670999026,-2.9866356769320257,Negative
408,MINDTREE,EQ,2019-01-04,834.8,832.1,841.0,792.25,815.45,815.0,808.81,3507785,2837148675.45,87843,508263,14.49,2019,1,842.957720980501,-2.371825586966936,Negative
409,MINDTREE,EQ,2019-01-07,815.0,819.0,839.7,816.3,835.0,835.35,830.24,1238344,1028123882.5,30168,232461,18.77,2019,1,842.9403761716377,2.4969325153374244,Positive
410,MINDTREE,EQ,2019-01-08,835.35,836.0,837.05,819.2,820.15,821.2,823.73,943753,777398922.5,31919,198595,21.04,2019,1,842.902667164894,-1.693900760160405,Negative
411,MINDTREE,EQ,2019-01-09,821.2,825.0,839.0,820.1,823.5,823.45,828.8,1108871,919036770.1,27750,170503,15.38,2019,1,842.863103575042,0.2739892839746627,Slight or No change
412,MINDTREE,EQ,2019-01-10,823.45,823.5,827.0,810.0,812.95,812.25,815.31,1017956,829946346.65,25853,287171,28.21,2019,1,842.8060527713064,-1.360131155504285,Negative
413,MINDTREE,EQ,2019-01-11,812.25,810.0,836.0,794.4,834.0,832.0,812.81,2625463,2133990113.95,51260,435348,16.58,2019,1,842.7543616516817,2.4315173899661424,Positive
414,MINDTREE,EQ,2019-01-14,832.0,838.0,857.85,830.0,853.3,853.15,843.66,2309396,1948339181.05,51144,330892,14.33,2019,1,842.7979197581028,2.5420673076923084,Positive
415,MINDTREE,EQ,2019-01-15,853.15,847.3,863.0,842.8,855.35,854.5,854.82,1598604,1366511335.75,41003,183911,11.5,2019,1,842.8317625026212,0.15823712125653255,Slight or No change
416,MINDTREE,EQ,2019-01-16,854.5,855.0,863.0,835.0,835.05,841.2,846.95,2437761,2064666750.35,59154,589109,24.17,2019,1,842.8245977930246,-1.556465769455817,Negative
417,MINDTREE,EQ,2019-01-17,841.2,843.95,873.3,821.7,866.0,867.85,856.97,10222282,8760163793.55,204114,779243,7.62,2019,1,843.2770325707854,3.168093200190203,Among top gainers
418,MINDTREE,EQ,2019-01-18,867.85,868.0,892.2,853.95,888.9,887.0,877.84,4875592,4279966984.4,100627,523711,10.74,2019,1,843.6508290521422,2.206602523477552,Positive
419,MINDTREE,EQ,2019-01-21,887.0,895.0,911.7,874.35,879.8,881.75,897.96,4642387,4168684964.75,88113,272532,5.87,2019,1,843.9584629027876,-0.5918827508455515,Slight negative
420,MINDTREE,EQ,2019-01-22,881.75,883.0,934.0,879.4,930.05,921.1,902.58,3934018,3550770974.9,72468,1058175,26.9,2019,1,844.482715214983,4.462716189396088,Among top gainers
421,MINDTREE,EQ,2019-01-23,921.1,930.0,942.9,902.0,905.0,906.55,923.57,6485855,5990140835.8,115982,965330,14.88,2019,1,845.1704275559131,-1.5796330474432851,Negative
